time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-29 00:00:00+00:00,0,0,9,1
2025-08-03 00:00:00+00:00,0,0,1,1
2025-08-07 00:00:00+00:00,1,1,20,2
2025-08-10 00:00:00+00:00,1,1,6,1
2025-08-11 00:00:00+00:00,18,14,123,3
2025-08-12 00:00:00+00:00,8,8,11,1
2025-08-13 00:00:00+00:00,4,3,2,1
2025-08-14 00:00:00+00:00,1,1,1,1
2025-08-15 00:00:00+00:00,4,4,0,0
2025-08-16 00:00:00+00:00,3,3,0,0
2025-08-17 00:00:00+00:00,4,3,0,0
2025-08-18 00:00:00+00:00,3,3,5,2
2025-08-19 00:00:00+00:00,1,1,1,1
2025-08-20 00:00:00+00:00,3,3,5,1
2025-08-21 00:00:00+00:00,1,1,0,0
2025-08-22 00:00:00+00:00,2,2,4,1
2025-08-23 00:00:00+00:00,3,3,0,0
2025-08-24 00:00:00+00:00,5,5,0,0
2025-08-25 00:00:00+00:00,4,4,1,1
2025-08-26 00:00:00+00:00,1,1,1,1
2025-08-27 00:00:00+00:00,1,1,0,0
2025-08-28 00:00:00+00:00,2,2,27,2
2025-08-29 00:00:00+00:00,4,4,85,1
2025-08-30 00:00:00+00:00,1,1,0,0
